,0
94,https://www.baseball-reference.com/boxes/PIT/PIT201804050.shtml
95,https://www.baseball-reference.com/boxes/SDN/SDN201804050.shtml
96,https://www.baseball-reference.com/boxes/SLN/SLN201804050.shtml
97,https://www.baseball-reference.com/boxes/WAS/WAS201804050.shtml
98,https://www.baseball-reference.com/boxes/ANA/ANA201804060.shtml
99,https://www.baseball-reference.com/boxes/CLE/CLE201804060.shtml
100,https://www.baseball-reference.com/boxes/COL/COL201804060.shtml
101,https://www.baseball-reference.com/boxes/HOU/HOU201804060.shtml
102,https://www.baseball-reference.com/boxes/MIL/MIL201804060.shtml
103,https://www.baseball-reference.com/boxes/NYA/NYA201804060.shtml
104,https://www.baseball-reference.com/boxes/PIT/PIT201804060.shtml
105,https://www.baseball-reference.com/boxes/TEX/TEX201804060.shtml
106,https://www.baseball-reference.com/boxes/ANA/ANA201804070.shtml
107,https://www.baseball-reference.com/boxes/BOS/BOS201804070.shtml
108,https://www.baseball-reference.com/boxes/CHA/CHA201804070.shtml
109,https://www.baseball-reference.com/boxes/CLE/CLE201804070.shtml
110,https://www.baseball-reference.com/boxes/COL/COL201804070.shtml
111,https://www.baseball-reference.com/boxes/HOU/HOU201804070.shtml
112,https://www.baseball-reference.com/boxes/MIL/MIL201804070.shtml
113,https://www.baseball-reference.com/boxes/MIN/MIN201804070.shtml
114,https://www.baseball-reference.com/boxes/NYA/NYA201804070.shtml
115,https://www.baseball-reference.com/boxes/PHI/PHI201804070.shtml
116,https://www.baseball-reference.com/boxes/PIT/PIT201804070.shtml
117,https://www.baseball-reference.com/boxes/SFN/SFN201804070.shtml
118,https://www.baseball-reference.com/boxes/SLN/SLN201804070.shtml
119,https://www.baseball-reference.com/boxes/TEX/TEX201804070.shtml
120,https://www.baseball-reference.com/boxes/WAS/WAS201804070.shtml
121,https://www.baseball-reference.com/boxes/ANA/ANA201804080.shtml
122,https://www.baseball-reference.com/boxes/BOS/BOS201804080.shtml
123,https://www.baseball-reference.com/boxes/CHA/CHA201804080.shtml
124,https://www.baseball-reference.com/boxes/CLE/CLE201804080.shtml
125,https://www.baseball-reference.com/boxes/COL/COL201804080.shtml
126,https://www.baseball-reference.com/boxes/HOU/HOU201804080.shtml
127,https://www.baseball-reference.com/boxes/MIL/MIL201804080.shtml
128,https://www.baseball-reference.com/boxes/NYA/NYA201804080.shtml
129,https://www.baseball-reference.com/boxes/PHI/PHI201804080.shtml
130,https://www.baseball-reference.com/boxes/PIT/PIT201804080.shtml
131,https://www.baseball-reference.com/boxes/SFN/SFN201804080.shtml
132,https://www.baseball-reference.com/boxes/SLN/SLN201804080.shtml
133,https://www.baseball-reference.com/boxes/TEX/TEX201804080.shtml
134,https://www.baseball-reference.com/boxes/WAS/WAS201804080.shtml
135,https://www.baseball-reference.com/boxes/BAL/BAL201804090.shtml
136,https://www.baseball-reference.com/boxes/CHA/CHA201804090.shtml
137,https://www.baseball-reference.com/boxes/CLE/CLE201804090.shtml
138,https://www.baseball-reference.com/boxes/COL/COL201804090.shtml
139,https://www.baseball-reference.com/boxes/KCA/KCA201804090.shtml
140,https://www.baseball-reference.com/boxes/MIA/MIA201804090.shtml
141,https://www.baseball-reference.com/boxes/MIN/MIN201804090.shtml
142,https://www.baseball-reference.com/boxes/PHI/PHI201804090.shtml
143,https://www.baseball-reference.com/boxes/SFN/SFN201804090.shtml
144,https://www.baseball-reference.com/boxes/SLN/SLN201804090.shtml
145,https://www.baseball-reference.com/boxes/TEX/TEX201804090.shtml
146,https://www.baseball-reference.com/boxes/WAS/WAS201804090.shtml
147,https://www.baseball-reference.com/boxes/BAL/BAL201804100.shtml
148,https://www.baseball-reference.com/boxes/BOS/BOS201804100.shtml
149,https://www.baseball-reference.com/boxes/CHA/CHA201804100.shtml
150,https://www.baseball-reference.com/boxes/CHN/CHN201804100.shtml
151,https://www.baseball-reference.com/boxes/CLE/CLE201804100.shtml
152,https://www.baseball-reference.com/boxes/COL/COL201804100.shtml
153,https://www.baseball-reference.com/boxes/KCA/KCA201804100.shtml
154,https://www.baseball-reference.com/boxes/LAN/LAN201804100.shtml
155,https://www.baseball-reference.com/boxes/MIA/MIA201804100.shtml
156,https://www.baseball-reference.com/boxes/MIN/MIN201804100.shtml
157,https://www.baseball-reference.com/boxes/PHI/PHI201804100.shtml
158,https://www.baseball-reference.com/boxes/SFN/SFN201804100.shtml
159,https://www.baseball-reference.com/boxes/SLN/SLN201804100.shtml
160,https://www.baseball-reference.com/boxes/TEX/TEX201804100.shtml
161,https://www.baseball-reference.com/boxes/WAS/WAS201804100.shtml
162,https://www.baseball-reference.com/boxes/BAL/BAL201804110.shtml
163,https://www.baseball-reference.com/boxes/BOS/BOS201804110.shtml
164,https://www.baseball-reference.com/boxes/CHA/CHA201804110.shtml
165,https://www.baseball-reference.com/boxes/CHN/CHN201804110.shtml
166,https://www.baseball-reference.com/boxes/CLE/CLE201804110.shtml
167,https://www.baseball-reference.com/boxes/COL/COL201804110.shtml
168,https://www.baseball-reference.com/boxes/KCA/KCA201804110.shtml
169,https://www.baseball-reference.com/boxes/LAN/LAN201804110.shtml
170,https://www.baseball-reference.com/boxes/MIA/MIA201804110.shtml
171,https://www.baseball-reference.com/boxes/MIN/MIN201804110.shtml
172,https://www.baseball-reference.com/boxes/PHI/PHI201804110.shtml
173,https://www.baseball-reference.com/boxes/SFN/SFN201804110.shtml
174,https://www.baseball-reference.com/boxes/SLN/SLN201804110.shtml
175,https://www.baseball-reference.com/boxes/TEX/TEX201804110.shtml
176,https://www.baseball-reference.com/boxes/WAS/WAS201804110.shtml
177,https://www.baseball-reference.com/boxes/BOS/BOS201804120.shtml
178,https://www.baseball-reference.com/boxes/CHN/CHN201804120.shtml
179,https://www.baseball-reference.com/boxes/CIN/CIN201804120.shtml
180,https://www.baseball-reference.com/boxes/CLE/CLE201804120.shtml
181,https://www.baseball-reference.com/boxes/KCA/KCA201804120.shtml
182,https://www.baseball-reference.com/boxes/MIN/MIN201804120.shtml
183,https://www.baseball-reference.com/boxes/SDN/SDN201804120.shtml
184,https://www.baseball-reference.com/boxes/WAS/WAS201804120.shtml
185,https://www.baseball-reference.com/boxes/BOS/BOS201804130.shtml
186,https://www.baseball-reference.com/boxes/CHN/CHN201804130.shtml
187,https://www.baseball-reference.com/boxes/CIN/CIN201804130.shtml
188,https://www.baseball-reference.com/boxes/CLE/CLE201804130.shtml
189,https://www.baseball-reference.com/boxes/DET/DET201804130.shtml
190,https://www.baseball-reference.com/boxes/HOU/HOU201804130.shtml
191,https://www.baseball-reference.com/boxes/KCA/KCA201804130.shtml
192,https://www.baseball-reference.com/boxes/LAN/LAN201804130.shtml
193,https://www.baseball-reference.com/boxes/MIA/MIA201804130.shtml
194,https://www.baseball-reference.com/boxes/NYN/NYN201804130.shtml
